Plot,TankWaterVolume_t0(gal),TankWaterVolume_t1(gal),TankWaterVolume_t2(gal),Time_t0,Time_t1,Time_t2,RainGauge1(mm),RainGuage2(mm),RainGuage3(mm),RainGuage4(mm),RunoffBucket_tare_wt(g),RunoffBucket1_wt(g),RunoffBucket2_wt(g),TotalRunoff(g),MeanRainGuageReading(mm),MeanRaingGuageReading(m),WaterVolumeApplied(m^3),WaterVolumeApplied(mL),TimeToRunoffStart,GallonsAppliedBeforeRunoff,GallonsAppliedDuringRunoff,TotalGallonsApplied
1,218,260,322,10:05:00 AM,10:28:30 AM,10:58:41 AM,46,56,44,62,815,6285,5804,10459,52,0.052,0.156,156000,23:30,42,62,104
2,665,705,764,9:14:00 AM,9:33:00 AM,10:03:00 AM,40,52,50,44,815,8435,NA,7620,46.5,0.0465,0.1395,139500,19:00,40,59,99
3,2989,3047,3110,12:03:00 PM,12:29:00 PM,12:59:26 PM,46,60,40,44,815,5684,NA,4869,47.5,0.0475,0.1425,142500,26:00:00,58,63,121
4,326,398,462,1:12:00 PM,1:46:30 PM,2:16:35 PM,53,84,62,43,815,6160,7505,12035,60.5,0.0605,0.1815,181500,34:30:00,72,64,136
5,767,796,858,10:31:00 AM,10:44:00 AM,11:14:00 AM,50,47,32,24,815,5370,NA,4555,38.25,0.03825,0.11475,114750,13:00,29,62,91
6,3113,NA,3230,1:23:00 PM,1:48:44 PM,2:18:44 PM,80,56,46,46,815,5065,NA,4250,57,0.057,0.171,171000,25:44:00,NA,NA,117
7,465,NA,658,2:53:00 PM,3:47:00 PM,4:20:00 PM,64,108,80,66,815,2168,NA,1353,79.5,0.0795,0.2385,238500,54:00:00,NA,NA,193
8,861,920,984,11:50:00 AM,12:17:00 PM,12:47:00 PM,32,42,54,80,815,1737,NA,922,52,0.052,0.156,156000,27:00:00,59,64,123
9,3233,3316,3380,2:42:00 PM,3:20:41 PM,3:50:41 PM,60,42,61,80,815,7475,3520,9365,60.75,0.06075,0.18225,182250,38:41:00,83,64,147
