"ASV","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV21670","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV21745","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus"
"ASV21746","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV21747","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV21748","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Petrimonas"
"ASV21915","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Methylophaga"
"ASV21992","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor"
"ASV22007","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified","Unclassified"
"ASV22199","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Unclassified","Unclassified"
"ASV22200","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_2","Ammoniphilus"
"ASV22201","Bacteria","Firmicutes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV22202","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Petrimonas"
"ASV22302","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV22303","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV22304","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Lentibacillus"
"ASV22305","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV22559","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV22560","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Mogibacterium"
"ASV22887","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV22888","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Oceanobacillus"
"ASV22889","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV22890","Bacteria","Bacteroidetes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV22891","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Unclassified"
"ASV23131","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV"
"ASV23135","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified","Unclassified"
"ASV23143","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella"
"ASV23147","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Pusillimonas"
"ASV23358","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae","Halocella"
"ASV23363","Bacteria","Firmicutes","Bacilli","Bacillales","Sporolactobacillaceae","Unclassified"
"ASV23396","Bacteria","Bacteroidetes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV23481","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"ASV23491","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV23492","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"ASV23493","Bacteria","Firmicutes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV23494","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Paenalcaligenes"
"ASV23495","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV23496","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"ASV23497","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV23498","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV23777","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Clostridium_XVIII"
"ASV23778","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV24035","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Aquisphaera"
"ASV24180","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium_IV"
"ASV24181","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV24182","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Amphibacillus"
"ASV24183","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Unclassified"
"ASV24379","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Coraliomargarita"
"ASV24479","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV24727","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV24735","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Unclassified"
"ASV24795","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV24900","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Bogoriellaceae","Georgenia"
"ASV24901","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Unclassified"
"ASV24902","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV24903","Bacteria","Proteobacteria","Deltaproteobacteria","Unclassified","Unclassified","Unclassified"
"ASV24904","Bacteria","Proteobacteria","Deltaproteobacteria","Unclassified","Unclassified","Unclassified"
"ASV24905","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"ASV24906","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"ASV25454","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unclassified","Unclassified"
"ASV25461","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Unclassified"
"ASV25509","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudoflavonifractor"
"ASV25638","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified","Unclassified","Unclassified"
"ASV25639","Bacteria","Proteobacteria","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV25640","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV25641","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified"
"ASV25642","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix"
"ASV25979","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"ASV25980","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"ASV26274","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Aquisphaera"
"ASV26276","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Syntrophaceticus"
"ASV26424","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV26450","Bacteria","Firmicutes","Clostridia","Unclassified","Unclassified","Unclassified"
"ASV26470","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Unclassified"
"ASV26487","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Bogoriellaceae","Georgenia"
"ASV26488","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Demequinaceae","Demequina"
"ASV26489","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Leucobacter"
"ASV26490","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV26491","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Unclassified"
"ASV26895","Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Mucispirillum"
"ASV27373","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Tissierella"
"ASV27445","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Unclassified"
"ASV27446","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Unclassified","Unclassified"
"ASV27878","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV27894","Bacteria","Firmicutes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV28225","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae_1","Peptococcus"
"ASV28227","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unclassified"
"ASV28229","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV28468","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified"
"ASV28513","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV28514","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Lentibacillus"
"ASV28515","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera"
"ASV28516","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Unclassified"
"ASV28517","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella"
"ASV28518","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"ASV28519","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV29044","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV29423","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera"
"ASV29427","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV29428","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"ASV29429","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV29431","Bacteria","Firmicutes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV29732","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
"ASV29733","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Gallicola"
"ASV29734","Bacteria","Firmicutes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV29735","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Lampropedia"
"ASV29736","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Alcaligenes"
"ASV29737","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV29738","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV30706","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV30713","Bacteria","Firmicutes","Clostridia","Unclassified","Unclassified","Unclassified"
"ASV30722","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae","Halocella"
"ASV30774","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Fodinicurvata"
"ASV31076","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV31077","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV31078","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV31079","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"ASV31080","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas"
"ASV31081","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"ASV31082","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus"
"ASV31547","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV31709","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Unclassified"
"ASV32160","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified"
"ASV32172","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV32610","Bacteria","Proteobacteria","Alphaproteobacteria","Unclassified","Unclassified","Unclassified"
"ASV32611","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVb"
"ASV32612","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Tissierella"
"ASV32613","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified","Unclassified"
"ASV32614","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV32615","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified"
"ASV32616","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Tissierella"
"ASV33333","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV33334","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Murdochiella"
"ASV33335","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified"
"ASV33866","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified"
"ASV34444","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"ASV34445","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unclassified","Unclassified"
"ASV34446","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
"ASV34447","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV34448","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Paenalcaligenes"
"ASV34449","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV34450","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV34451","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Ignatzschineria"
"ASV34452","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Aeriscardovia"
"ASV35268","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Jonquetella"
"ASV35867","Bacteria","Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Unclassified"
"ASV35887","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV35894","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_III","Tepidanaerobacter"
"ASV35897","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV35898","Bacteria","Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Unclassified"
"ASV36634","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV36635","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Lentibacillus"
"ASV36636","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV36637","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Unclassified"
"ASV36638","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV36639","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified"
"ASV36640","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV37544","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Aestuariispira"
"ASV37545","Bacteria","Firmicutes","Clostridia","Unclassified","Unclassified","Unclassified"
"ASV38994","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"ASV39024","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV39025","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Luteimonas"
"ASV39026","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"ASV39027","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"ASV39028","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"ASV39029","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"ASV39030","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Entomoplasmataceae","Mesoplasma"
"ASV39031","Bacteria","Proteobacteria","Deltaproteobacteria","Unclassified","Unclassified","Unclassified"
"ASV39032","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV40087","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified"
"ASV40088","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
"ASV42187","Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","Coraliomargarita"
"ASV42188","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV42189","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Nubsella"
"ASV42190","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Imtechella"
"ASV42191","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Unclassified"
"ASV42192","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma"
"ASV42193","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila"
"ASV42194","Bacteria","Proteobacteria","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV42195","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV42196","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV42197","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Unclassified"
"ASV42198","Bacteria","Firmicutes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV42199","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV42200","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Oceanimonas"
"ASV42201","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified"
"ASV42202","Bacteria","Firmicutes","Clostridia","Unclassified","Unclassified","Unclassified"
"ASV42203","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Unclassified"
"ASV42204","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"ASV43504","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Unclassified"
"ASV43510","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Unclassified"
"ASV44542","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV44545","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV46057","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinospirillum"
"ASV46058","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Demequinaceae","Lysinimicrobium"
"ASV46059","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas"
"ASV46060","Bacteria","Proteobacteria","Deltaproteobacteria","Unclassified","Unclassified","Unclassified"
"ASV46061","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"ASV46062","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV46063","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Cellulomonadaceae","Actinotalea"
"ASV46064","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV46065","Bacteria","Firmicutes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV46066","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV46067","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"ASV46068","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Unclassified"
"ASV46069","Bacteria","Firmicutes","Clostridia","Clostridiales","Proteinivoraceae","Proteinivorax"
"ASV46070","Bacteria","Bacteroidetes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV46071","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV46072","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Ktedonobacter"
"ASV46073","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus"
"ASV46074","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified"
"ASV46075","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified","Unclassified"
"ASV46076","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified"
"ASV46077","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudofulvimonas"
"ASV46078","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified"
"ASV46079","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oleiphilaceae","Oleiphilus"
"ASV47733","Bacteria","Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Slackia"
"ASV47747","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Coprobacter"
"ASV49026","Bacteria","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV49066","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XII","Guggenheimella"
"ASV50630","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV51026","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV51027","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV51028","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Peptoniphilus"
"ASV51029","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Unclassified","Unclassified"
"ASV51030","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella"
"ASV51031","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
"ASV51032","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV51033","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"ASV51034","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV51035","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Alkalilimnicola"
"ASV51036","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"ASV51037","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella"
"ASV51038","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Unclassified"
"ASV51039","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas"
"ASV51040","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified"
"ASV51041","Bacteria","Firmicutes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV51042","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV51043","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified"
"ASV51044","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified","Unclassified","Unclassified"
"ASV51045","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Unclassified"
"ASV51046","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified"
"ASV51047","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV51048","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Unclassified"
"ASV51049","Bacteria","candidate_division_WPS-1","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV51050","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV51051","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Unclassified","Unclassified"
"ASV51052","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella"
"ASV51053","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingosinicella"
"ASV51054","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_2","Anaerovirgula"
"ASV51055","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Unclassified"
"ASV51056","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV51057","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV51058","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Unclassified","Unclassified"
"ASV51059","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter"
"ASV54823","Bacteria","Bacteroidetes","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV54883","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Balneola"
"ASV57628","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
"ASV57629","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Garciella"
"ASV57630","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV57631","Bacteria","Firmicutes","Clostridia","Unclassified","Unclassified","Unclassified"
"ASV57632","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified","Unclassified"
"ASV57633","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV57634","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Unclassified","Unclassified"
"ASV57635","Bacteria","Proteobacteria","Unclassified","Unclassified","Unclassified","Unclassified"
