"ASV","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV11628","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Unclassified"
"ASV11670","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus"
"ASV11712","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Leucobacter"
"ASV11816","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV11817","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Proteiniclasticum"
"ASV11819","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV11840","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Petrimonas"
"ASV11902","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Myroides"
"ASV11954","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Unclassified","Unclassified"
"ASV12009","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV12033","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV12035","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV12109","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Amphibacillus"
"ASV12110","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae","Unclassified"
"ASV12111","Bacteria","Firmicutes","Bacilli","Bacillales","Unclassified","Unclassified"
"ASV12158","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"ASV12206","Bacteria","Proteobacteria","Unclassified","Unclassified","Unclassified","Unclassified"
"ASV12207","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Taibaiella"
"ASV12209","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_2","Unclassified"
"ASV12210","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Unclassified"
"ASV12215","Bacteria","Firmicutes","Clostridia","Clostridiales","Unclassified","Unclassified"
"ASV12242","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV12331","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Brumimicrobium"
"ASV12338","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardiopsaceae","Unclassified"
"ASV12579","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Aquihabitans"
